elapsed_time_millis,stored_entries
371,0
6741,50000
13399,100000
20693,150000
28380,200000
36624,250000
47454,300000
58059,350000
69011,400000
80001,450000
91293,500000
102838,550000
114557,600000
126641,650000
139193,700000
151849,750000
164962,800000
178030,850000
191174,900000
204437,950000
217868,1000000
231383,1050000
245178,1100000
260492,1150000
275068,1200000
289710,1250000
304555,1300000
319221,1350000
334248,1400000
349150,1450000
365101,1500000
380547,1550000
395767,1600000
411077,1650000
426746,1700000
443179,1750000
459153,1800000
475349,1850000
491997,1900000
508678,1950000
525682,2000000
543113,2050000
560725,2100000
579295,2150000
598419,2200000
617669,2250000
635236,2300000
653787,2350000
672532,2400000
692449,2450000
712705,2500000
731402,2550000
750283,2600000
770136,2650000
790909,2700000
810399,2750000
830108,2800000
849944,2850000
869874,2900000
890483,2950000
911428,3000000
931451,3050000
953350,3100000
972714,3150000
988567,3200000
1009599,3250000
1030089,3300000
1053145,3350000
1074463,3400000
1094221,3450000
1114537,3500000
1137668,3550000
1158293,3600000
1179112,3650000
1201846,3700000
1224769,3750000
1246839,3800000
1272185,3850000
1295600,3900000
1317966,3950000
1340603,4000000
1364124,4050000
1388794,4100000
1413477,4150000
1438624,4200000
1461722,4250000
1486244,4300000
1510872,4350000
1537634,4400000
1561932,4450000
1577775,4500000
1588752,4550000
1606730,4600000
1630209,4650000
1661237,4700000
1695657,4750000
1725360,4800000
1755465,4850000
