elapsed_time_millis,stored_entries
421,0
9071,50000
17941,100000
27370,150000
37194,200000
47753,250000
61996,300000
75521,350000
89989,400000
104434,450000
119022,500000
134321,550000
149314,600000
165051,650000
181501,700000
198999,750000
216283,800000
233023,850000
250284,900000
267557,950000
286528,1000000
303179,1050000
320104,1100000
339265,1150000
357408,1200000
374614,1250000
393825,1300000
412073,1350000
430967,1400000
449801,1450000
468418,1500000
486720,1550000
507871,1600000
526145,1650000
546173,1700000
564231,1750000
583063,1800000
601354,1850000
619658,1900000
639076,1950000
658836,2000000
677327,2050000
695897,2100000
716329,2150000
735766,2200000
756118,2250000
776737,2300000
796485,2350000
817419,2400000
837806,2450000
858395,2500000
878375,2550000
898961,2600000
921254,2650000
942874,2700000
964065,2750000
985701,2800000
1004346,2850000
1023209,2900000
1046264,2950000
1066058,3000000
1086075,3050000
1106764,3100000
1127170,3150000
1145344,3200000
1166497,3250000
1189556,3300000
1211016,3350000
1235478,3400000
1258597,3450000
1281339,3500000
1305667,3550000
1329153,3600000
1352619,3650000
1376318,3700000
1401151,3750000
1425632,3800000
1450809,3850000
1475446,3900000
1499910,3950000
1525512,4000000
1549371,4050000
1575268,4100000
1600032,4150000
1624949,4200000
1647704,4250000
1672418,4300000
1695921,4350000
1721362,4400000
1744871,4450000
1760841,4500000
1771206,4550000
1787220,4600000
1812563,4650000
1842186,4700000
1874745,4750000
1901326,4800000
1931297,4850000
