elapsed_time_millis,stored_entries
279,0
6106,50000
12098,100000
18794,150000
25988,200000
33623,250000
43446,300000
53753,350000
63707,400000
73878,450000
84205,500000
94618,550000
105165,600000
116226,650000
127794,700000
139325,750000
151355,800000
163318,850000
175385,900000
187656,950000
200741,1000000
213351,1050000
226158,1100000
239695,1150000
252917,1200000
265927,1250000
279274,1300000
292428,1350000
305471,1400000
318560,1450000
331823,1500000
345293,1550000
358744,1600000
372239,1650000
385797,1700000
399450,1750000
413239,1800000
427234,1850000
441170,1900000
455023,1950000
469005,2000000
483441,2050000
498066,2100000
513122,2150000
528320,2200000
543415,2250000
558497,2300000
573747,2350000
589353,2400000
605086,2450000
620963,2500000
636588,2550000
652429,2600000
666762,2650000
680948,2700000
695417,2750000
709675,2800000
724035,2850000
738074,2900000
752734,2950000
767490,3000000
782877,3050000
798031,3100000
812146,3150000
824452,3200000
839105,3250000
855628,3300000
872328,3350000
888453,3400000
903880,3450000
919524,3500000
935726,3550000
952315,3600000
967601,3650000
983905,3700000
1002038,3750000
1018472,3800000
1035956,3850000
1052654,3900000
1069942,3950000
1087425,4000000
1105813,4050000
1123204,4100000
1141198,4150000
1159054,4200000
1175579,4250000
1192430,4300000
1208837,4350000
1227067,4400000
1244942,4450000
1256057,4500000
1263714,4550000
1275463,4600000
1292642,4650000
1312414,4700000
1332811,4750000
1350832,4800000
1371257,4850000
