elapsed_time_millis,stored_entries
311,0
5885,50000
12296,100000
19399,150000
26641,200000
34470,250000
44763,300000
55094,350000
65220,400000
75435,450000
85786,500000
97068,550000
107683,600000
118762,650000
131450,700000
144629,750000
158064,800000
171331,850000
184103,900000
196731,950000
210106,1000000
223002,1050000
235739,1100000
248423,1150000
261215,1200000
274425,1250000
287928,1300000
301538,1350000
315302,1400000
329398,1450000
342840,1500000
356363,1550000
369907,1600000
383684,1650000
397336,1700000
411181,1750000
425348,1800000
439425,1850000
453605,1900000
468138,1950000
482579,2000000
497806,2050000
513376,2100000
528635,2150000
544004,2200000
559368,2250000
575253,2300000
591061,2350000
607110,2400000
623554,2450000
639754,2500000
655731,2550000
671943,2600000
687993,2650000
704591,2700000
721122,2750000
734769,2800000
749547,2850000
765468,2900000
780366,2950000
795215,3000000
811768,3050000
828122,3100000
844359,3150000
857404,3200000
872685,3250000
888796,3300000
906818,3350000
926034,3400000
941564,3450000
960536,3500000
977993,3550000
994192,3600000
1012020,3650000
1030254,3700000
1048126,3750000
1066413,3800000
1084866,3850000
1105106,3900000
1122272,3950000
1140829,4000000
1159634,4050000
1177419,4100000
1197465,4150000
1216443,4200000
1235238,4250000
1255068,4300000
1274815,4350000
1295155,4400000
1315724,4450000
1327670,4500000
1335485,4550000
1346909,4600000
1364214,4650000
1382649,4700000
1404657,4750000
1423409,4800000
1443742,4850000
